Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x5.4,1,100u,
"C10, C12, C4",1206,3,22u,
"C11, C13, C16, C19, C7",0805,5,100n,
"C14, C15, C18, C3",0805,4,1u,
"C17, C20",0805,2,10n,
"C2, C5, C6, C8",1206,4,10u,
C9,0805,1,0.1u,
D1,D_SMA,1,SMAJ5.0A,
"D2, D3",0805,2,LED,
"D4, D5, D6, D7",SOT-23,4,PESD1CAN,
"FEET_L1, FEET_R1, HIP_L1, HIP_R1",JST_VH_B2PS-VH_1x02_P3.96mm_Horizontal,4,JST,
IMU1,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,JST,
J1,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,1,Power,
J2,PinSocket_2x12_P2.54mm_Vertical,1,ESP_left,
J3,PinSocket_2x16_P2.54mm_Vertical,1,ESP_right,
J4,PinSocket_2x24_P2.54mm_Vertical,1,Teensy_left,
J5,PinSocket_2x24_P2.54mm_Vertical,1,Teensy_right,
J6,PinSocket_1x05_P2.54mm_Vertical,1,5V_PINOUT,
J7,PinSocket_1x05_P2.54mm_Vertical,1,3.3V_PINOUT,
J8,PinSocket_1x05_P2.54mm_Vertical,1,GND_PINOUT,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,ESP_PG,
JP2,PinHeader_1x03_P2.54mm_Vertical,1,Teensy_PG,
L1,L_Coilcraft_XAL4020-XXX,1,2.2u,
Q1,SOT-23,1,Q_PMOS_GSD,
"R1, R4",0805,2,100k,
"R10, R12, R14, R16",0603,4,60,
"R11, R13, R15, R7, R8, R9",0805,6,100,
R2,0805,1,453k,
"R3, R6",0805,2,3.3k,
R5,0805,1,0,
U1,SOT-23-5,1,TLV62569DBV,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TCAN332,
