Designator,Mid X,Mid Y,Rotation,Layer
C1,118.24,-50.88,0.0,top
C10,160.54,-64.895,270.0,top
C11,163.04,-64.37,270.0,top
C12,121.54,-64.855,270.0,top
C13,127.04,-64.33,270.0,top
C14,124.54,-64.33,270.0,top
C15,118.54,-116.83,270.0,top
C16,116.04,-116.83,90.0,top
C17,132.04,-120.33,270.0,top
C18,142.04,-116.83,270.0,top
C19,139.54,-116.83,90.0,top
C2,120.565,-56.88,180.0,top
C20,155.54,-120.33,270.0,top
C3,121.09,-59.88,180.0,top
C4,144.54,-65.855,270.0,top
C5,148.04,-65.855,270.0,top
C6,99.04,-71.945,90.0,top
C7,96.54,-72.47,90.0,top
C8,132.04,-65.855,270.0,top
C9,135.54,-65.33,270.0,top
D1,126.54,-53.38,90.0,top
D2,103.25,-55.4925,90.0,top
D3,159.5,-55.4375,90.0,top
D4,139.8525,-127.88,180.0,top
D5,148.2275,-127.88,0.0,top
D6,139.8525,-140.63,180.0,top
D7,148.2275,-140.63,0.0,top
FEET_L1,152.765,-140.63,90.0,top
FEET_R1,135.315,-140.63,270.0,top
H1,85.54,-46.88,0.0,top
H2,202.54,-46.88,0.0,top
H3,85.54,-112.88,0.0,top
H4,202.54,-112.88,0.0,top
H5,114.25,-142.5,0.0,top
H6,173.75,-142.5,0.0,top
HIP_L1,152.765,-127.88,90.0,top
HIP_R1,135.315,-127.88,270.0,top
IMU1,89.54,-77.0,90.0,top
J1,140.5825,-47.4925,0.0,top
J2,202.35,-85.01,180.0,top
J3,168.31,-79.93,180.0,top
J4,125.75,-108.65,90.0,top
J5,125.75,-78.65,90.0,top
J6,107.29,-55.46,0.0,top
J7,156.04,-55.46,0.0,top
J8,151.04,-55.46,0.0,top
JP1,167.04,-53.92,0.0,top
JP2,112.5,-70.38,270.0,top
L1,141.225,-60.38,0.0,top
Q1,131.6025,-48.88,180.0,top
R1,126.4525,-47.93,180.0,top
R10,133.825,-117.5,180.0,top
R11,117.6275,-120.19,0.0,top
R12,130.175,-117.5,0.0,top
R13,153.3325,-97.88,0.0,top
R14,157.325,-117.5,180.0,top
R15,141.1275,-120.19,0.0,top
R16,153.675,-117.5,0.0,top
R2,139.4525,-68.88,180.0,top
R3,103.25,-59.4675,270.0,top
R4,139.4525,-71.38,0.0,top
R5,127.4525,-59.88,0.0,top
R6,159.5,-59.4675,270.0,top
R7,163.79,-97.3525,270.0,top
R8,120.3125,-113.38,180.0,top
R9,101.62,-113.63,270.0,top
TP1,105.54,-70.38,0.0,top
TP2,156.04,-45.88,0.0,top
TP3,107.29,-45.88,0.0,top
TP4,151.04,-45.88,0.0,top
U1,139.6775,-65.33,0.0,top
U2,125.75,-93.5,0.0,top
U3,202.86,-76.04,270.0,top
U4,124.015,-118.285,270.0,top
U5,147.515,-118.285,270.0,top
